INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1020	6912	50	-1	3573	50	-1	79	15	-1	79	15	-1	79	15	-1	79	15	-1	2	1116	50	50	1146	50	50	3	1116	50	50	1146	50	50	3	-1	-1	1280	470	9	-1	-1	-1	-1	67	67	65	65	39	9	51	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1021	7202	50	-1	3722	50	-1	83	15	-1	83	15	-1	83	15	-1	83	15	-1	2	1160	50	50	1190	50	50	3	1160	50	50	1190	50	50	3	-1	-1	1328	482	9	-1	-1	-1	-1	72	72	70	70	42	9	51	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1022	7490	50	-1	3871	50	-1	88	15	-1	88	15	-1	88	15	-1	88	15	-1	2	1200	50	50	1230	50	50	3	1200	50	50	1230	50	50	3	-1	-1	1376	494	9	-1	-1	-1	-1	75	75	72	72	44	9	56	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1023	7780	50	-1	4020	50	-1	92	15	-1	92	15	-1	92	15	-1	92	15	-1	2	1244	50	50	1274	50	50	3	1244	50	50	1274	50	50	3	-1	-1	1424	506	9	-1	-1	-1	-1	77	77	75	75	44	9	56	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1024	8068	50	-1	4168	50	-1	92	15	-1	92	15	-1	92	15	-1	92	15	-1	2	1288	50	50	1318	50	50	3	1288	50	50	1318	50	50	3	-1	-1	1472	518	12	-1	-1	-1	-1	80	80	77	77	47	12	56	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1025	8359	50	-1	4317	50	-1	96	15	-1	96	15	-1	96	15	-1	96	15	-1	2	1328	50	50	1358	50	50	3	1328	50	50	1358	50	50	3	-1	-1	1520	530	12	-1	-1	-1	-1	82	82	80	80	47	12	56	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1026	8647	50	-1	4466	50	-1	101	20	-1	101	20	-1	101	20	-1	101	20	-1	2	1372	50	50	1402	50	50	4	1372	50	50	1402	50	50	4	-1	-1	1568	542	12	-1	-1	-1	-1	85	85	82	82	50	12	56	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1027	8937	50	-1	4615	50	-1	105	20	-1	105	20	-1	105	20	-1	105	20	-1	2	1416	50	50	1442	50	50	4	1416	50	50	1442	50	50	4	-1	-1	1616	554	12	-1	-1	-1	-1	87	87	85	85	53	12	61	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1028	9225	50	-1	4764	50	-1	105	20	-1	105	20	-1	105	20	-1	105	20	-1	2	1456	50	50	1486	50	50	4	1456	50	50	1486	50	50	4	-1	-1	1664	566	12	-1	-1	-1	-1	90	90	87	87	53	12	61	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1029	9516	50	-1	4912	50	-1	110	20	-1	110	20	-1	110	20	-1	110	20	-1	3	1500	50	50	1530	50	50	4	1500	50	50	1530	50	50	4	-1	-1	1712	578	12	-1	-1	-1	-1	92	92	90	90	56	12	61	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1030	9804	50	-1	5059	50	-1	114	20	-1	114	20	-1	114	20	-1	114	20	-1	3	1540	50	50	1570	50	50	4	1540	50	50	1570	50	50	4	-1	-1	1760	590	12	-1	-1	-1	-1	95	95	92	92	56	12	61	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1031	10094	50	-1	5208	50	-1	118	20	-1	118	20	-1	118	20	-1	118	20	-1	3	1584	50	50	1614	50	50	4	1584	50	50	1614	50	50	4	-1	-1	1808	602	12	-1	-1	-1	-1	100	100	97	97	58	12	61	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1032	10382	50	-1	5356	50	-1	123	20	-1	123	20	-1	123	20	-1	123	20	-1	3	1628	50	50	1658	50	50	4	1628	50	50	1658	50	50	4	-1	-1	1856	614	12	-1	-1	-1	-1	102	102	100	100	61	12	66	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1033	10672	50	-1	5505	50	-1	123	20	-1	123	20	-1	123	20	-1	123	20	-1	3	1668	50	50	1698	50	50	4	1668	50	50	1698	50	50	4	-1	-1	1904	626	12	-1	-1	-1	-1	105	105	102	102	61	12	66	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1034	10960	50	-1	5654	50	-1	127	20	-1	127	20	-1	127	20	-1	127	20	-1	3	1712	50	50	1742	50	50	4	1712	50	50	1742	50	50	4	-1	-1	1952	638	12	-1	-1	-1	-1	107	107	105	105	64	12	66	-1	-1	-1	-1	-1	4	4	4	4	-1	-1	-1	-1	-1	-1
1035	11251	50	-1	5803	50	-1	132	25	-1	132	25	-1	132	25	-1	132	25	-1	3	1756	50	50	1786	50	50	5	1756	50	50	1786	50	50	5	-1	-1	2000	650	12	-1	-1	-1	-1	110	110	107	107	64	12	66	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1036	11539	50	-1	5952	50	-1	136	25	-1	136	25	-1	136	25	-1	136	25	-1	3	1796	50	50	1826	50	50	5	1796	50	50	1826	50	50	5	-1	-1	2048	662	12	-1	-1	-1	-1	112	112	110	110	67	12	66	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1037	11829	50	-1	6100	50	-1	140	25	-1	140	25	-1	140	25	-1	140	25	-1	3	1840	50	50	1870	50	50	5	1840	50	50	1870	50	50	5	-1	-1	2096	674	15	-1	-1	-1	-1	115	115	112	112	70	15	71	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1038	12117	50	-1	6249	50	-1	145	25	-1	145	25	-1	145	25	-1	145	25	-1	3	1884	50	50	1914	50	50	5	1884	50	50	1914	50	50	5	-1	-1	2144	686	15	-1	-1	-1	-1	117	117	115	115	70	15	71	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1039	12408	50	-1	6398	50	-1	145	25	-1	145	25	-1	145	25	-1	145	25	-1	3	1924	50	50	1954	50	50	5	1924	50	50	1954	50	50	5	-1	-1	2192	698	15	-1	-1	-1	-1	120	120	117	117	72	15	71	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1040	12696	50	-1	6544	50	-1	149	25	-1	149	25	-1	149	25	-1	149	25	-1	3	1968	50	50	1998	50	50	5	1968	50	50	1998	50	50	5	-1	-1	2240	710	15	-1	-1	-1	-1	122	122	120	120	72	15	71	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1041	12986	50	-1	6693	50	-1	154	25	-1	154	25	-1	154	25	-1	154	25	-1	3	2012	50	50	2042	50	50	5	2012	50	50	2042	50	50	5	-1	-1	2288	722	15	-1	-1	-1	-1	127	127	125	125	75	15	71	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1042	13274	50	-1	6842	50	-1	158	25	-1	158	25	-1	158	25	-1	158	25	-1	3	2052	50	50	2082	50	50	5	2052	50	50	2082	50	50	5	-1	-1	2336	734	15	-1	-1	-1	-1	130	130	127	127	78	15	76	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1043	13564	50	-1	6991	50	-1	162	25	-1	162	25	-1	162	25	-1	162	25	-1	3	2096	50	50	2126	50	50	5	2096	50	50	2126	50	50	5	-1	-1	2384	746	15	-1	-1	-1	-1	132	132	130	130	78	15	76	-1	-1	-1	-1	-1	5	5	5	5	-1	-1	-1	-1	-1	-1
1044	13852	50	-1	7140	50	-1	167	30	-1	167	30	-1	167	30	-1	167	30	-1	3	2140	50	50	2166	50	50	6	2140	50	50	2166	50	50	6	-1	-1	2432	758	15	-1	-1	-1	-1	135	135	132	132	81	15	76	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1045	14143	50	-1	7288	50	-1	171	30	-1	171	30	-1	171	30	-1	171	30	-1	3	2180	50	50	2210	50	50	6	2180	50	50	2210	50	50	6	-1	-1	2480	770	15	-1	-1	-1	-1	137	137	135	135	81	15	76	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1046	14431	50	-1	7437	50	-1	176	30	-1	176	30	-1	176	30	-1	176	30	-1	3	2224	50	50	2254	50	50	6	2224	50	50	2254	50	50	6	-1	-1	2528	782	15	-1	-1	-1	-1	140	140	137	137	84	15	76	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1047	14721	50	-1	7586	50	-1	180	30	-1	180	30	-1	180	30	-1	180	30	-1	3	2264	50	50	2294	50	50	6	2264	50	50	2294	50	50	6	-1	-1	2576	794	15	-1	-1	-1	-1	142	142	140	140	86	15	81	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1048	15009	50	-1	7735	50	-1	184	30	-1	184	30	-1	184	30	-1	184	30	-1	3	2308	50	50	2338	50	50	6	2308	50	50	2338	50	50	6	-1	-1	2624	806	15	-1	-1	-1	-1	145	145	142	142	86	15	81	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1049	15300	50	-1	7884	50	-1	189	30	-1	189	30	-1	189	30	-1	189	30	-1	4	2352	50	50	2382	50	50	6	2352	50	50	2382	50	50	6	-1	-1	2672	818	18	-1	-1	-1	-1	147	147	145	145	89	18	81	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1050	15588	50	-1	8030	50	-1	189	30	-1	189	30	-1	189	30	-1	189	30	-1	4	2392	50	50	2422	50	50	6	2392	50	50	2422	50	50	6	-1	-1	2720	830	18	-1	-1	-1	-1	150	150	147	147	89	18	81	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1051	15878	50	-1	8179	50	-1	193	30	-1	193	30	-1	193	30	-1	193	30	-1	4	2436	50	50	2466	50	50	6	2436	50	50	2466	50	50	6	-1	-1	2768	842	18	-1	-1	-1	-1	155	155	152	152	92	18	81	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1052	16166	50	-1	8328	50	-1	198	30	-1	198	30	-1	198	30	-1	198	30	-1	4	2480	50	50	2510	50	50	6	2480	50	50	2510	50	50	6	-1	-1	2816	854	18	-1	-1	-1	-1	157	157	155	155	95	18	86	-1	-1	-1	-1	-1	6	6	6	6	-1	-1	-1	-1	-1	-1
1053	16456	50	-1	8476	50	-1	202	35	-1	202	35	-1	202	35	-1	202	35	-1	4	2520	50	50	2550	50	50	7	2520	50	50	2550	50	50	7	-1	-1	2864	866	18	-1	-1	-1	-1	160	160	157	157	95	18	86	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1054	16744	50	-1	8625	50	-1	206	35	-1	206	35	-1	206	35	-1	206	35	-1	4	2564	50	50	2594	50	50	7	2564	50	50	2594	50	50	7	-1	-1	2912	878	18	-1	-1	-1	-1	162	162	160	160	98	18	86	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1055	17035	50	-1	8774	50	-1	211	35	-1	211	35	-1	211	35	-1	211	35	-1	4	2608	50	50	2638	50	50	7	2608	50	50	2638	50	50	7	-1	-1	2960	890	18	-1	-1	-1	-1	165	165	162	162	98	18	86	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1056	17323	50	-1	8923	50	-1	215	35	-1	215	35	-1	215	35	-1	215	35	-1	4	2648	50	50	2678	50	50	7	2648	50	50	2678	50	50	7	-1	-1	3008	902	18	-1	-1	-1	-1	167	167	165	165	100	18	86	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1057	17613	50	-1	9072	50	-1	220	35	-1	220	35	-1	220	35	-1	220	35	-1	4	2692	50	50	2722	50	50	7	2692	50	50	2722	50	50	7	-1	-1	3056	914	18	-1	-1	-1	-1	170	170	167	167	103	18	91	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1058	17901	50	-1	9220	50	-1	224	35	-1	224	35	-1	224	35	-1	224	35	-1	4	2736	50	50	2766	50	50	7	2736	50	50	2766	50	50	7	-1	-1	3104	926	18	-1	-1	-1	-1	172	172	170	170	103	18	91	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1059	18192	50	-1	9369	50	-1	228	35	-1	228	35	-1	228	35	-1	228	35	-1	4	2776	50	50	2806	50	50	7	2776	50	50	2806	50	50	7	-1	-1	3152	938	18	-1	-1	-1	-1	175	175	172	172	106	18	91	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1060	18480	50	-1	9516	50	-1	233	35	-1	233	35	-1	233	35	-1	233	35	-1	4	2820	50	50	2850	50	50	7	2820	50	50	2850	50	50	7	-1	-1	3200	950	18	-1	-1	-1	-1	177	177	175	175	106	18	91	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1061	18770	50	-1	9664	50	-1	242	35	-1	242	35	-1	242	35	-1	242	35	-1	4	2864	50	50	2890	50	50	7	2864	50	50	2890	50	50	7	-1	-1	3248	962	18	-1	-1	-1	-1	182	182	180	180	109	18	91	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1062	19058	50	-1	9813	50	-1	246	35	-1	246	35	-1	246	35	-1	246	35	-1	4	2904	50	50	2934	50	50	7	2904	50	50	2934	50	50	7	-1	-1	3296	974	21	-1	-1	-1	-1	185	185	182	182	112	21	96	-1	-1	-1	-1	-1	7	7	7	7	-1	-1	-1	-1	-1	-1
1063	19348	50	-1	9962	50	-1	250	40	-1	250	40	-1	250	40	-1	250	40	-1	4	2948	50	50	2978	50	50	8	2948	50	50	2978	50	50	8	-1	-1	3344	986	21	-1	-1	-1	-1	187	187	185	185	112	21	96	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1064	19636	50	-1	10111	50	-1	255	40	-1	255	40	-1	255	40	-1	255	40	-1	4	2988	50	50	3018	50	50	8	2988	50	50	3018	50	50	8	-1	-1	3392	998	21	-1	-1	-1	-1	190	190	187	187	114	21	96	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1065	19927	50	-1	10260	50	-1	259	40	-1	259	40	-1	259	40	-1	259	40	-1	4	3032	50	50	3062	50	50	8	3032	50	50	3062	50	50	8	-1	-1	3440	1010	21	-1	-1	-1	-1	192	192	190	190	114	21	96	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1066	20215	50	-1	10408	50	-1	264	40	-1	264	40	-1	264	40	-1	264	40	-1	4	3076	50	50	3106	50	50	8	3076	50	50	3106	50	50	8	-1	-1	3488	1022	21	-1	-1	-1	-1	195	195	192	192	117	21	96	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1067	20505	50	-1	10557	50	-1	268	40	-1	268	40	-1	268	40	-1	268	40	-1	4	3116	50	50	3146	50	50	8	3116	50	50	3146	50	50	8	-1	-1	3536	1034	21	-1	-1	-1	-1	197	197	195	195	120	21	102	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1068	20793	50	-1	10706	50	-1	272	40	-1	272	40	-1	272	40	-1	272	40	-1	5	3160	50	50	3190	50	50	8	3160	50	50	3190	50	50	8	-1	-1	3584	1046	21	-1	-1	-1	-1	200	200	197	197	120	21	102	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1069	21084	50	-1	10855	50	-1	277	40	-1	277	40	-1	277	40	-1	277	40	-1	5	3204	50	50	3234	50	50	8	3204	50	50	3234	50	50	8	-1	-1	3632	1058	21	-1	-1	-1	-1	202	202	200	200	123	21	102	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1070	21372	50	-1	11001	50	-1	281	40	-1	281	40	-1	281	40	-1	281	40	-1	5	3244	50	50	3274	50	50	8	3244	50	50	3274	50	50	8	-1	-1	3680	1070	21	-1	-1	-1	-1	205	205	202	202	123	21	102	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1071	21662	50	-1	11150	50	-1	286	40	-1	286	40	-1	286	40	-1	286	40	-1	5	3288	50	50	3318	50	50	8	3288	50	50	3318	50	50	8	-1	-1	3728	1082	21	-1	-1	-1	-1	210	210	207	207	126	21	102	-1	-1	-1	-1	-1	8	8	8	8	-1	-1	-1	-1	-1	-1
1072	21950	50	-1	11299	50	-1	294	45	-1	294	45	-1	294	45	-1	294	45	-1	5	3332	50	50	3362	50	50	9	3332	50	50	3362	50	50	9	-1	-1	3776	1094	21	-1	-1	-1	-1	212	212	210	210	128	21	107	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1073	22240	50	-1	11448	50	-1	299	45	-1	299	45	-1	299	45	-1	299	45	-1	5	3372	50	50	3402	50	50	9	3372	50	50	3402	50	50	9	-1	-1	3824	1106	21	-1	-1	-1	-1	215	215	212	212	128	21	107	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1074	22528	50	-1	11596	50	-1	303	45	-1	303	45	-1	303	45	-1	303	45	-1	5	3416	50	50	3446	50	50	9	3416	50	50	3446	50	50	9	-1	-1	3872	1118	24	-1	-1	-1	-1	217	217	215	215	131	24	107	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1075	22819	50	-1	11745	50	-1	308	45	-1	308	45	-1	308	45	-1	308	45	-1	5	3460	50	50	3490	50	50	9	3460	50	50	3490	50	50	9	-1	-1	3920	1130	24	-1	-1	-1	-1	220	220	217	217	131	24	107	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1076	23107	50	-1	11894	50	-1	312	45	-1	312	45	-1	312	45	-1	312	45	-1	5	3500	50	50	3530	50	50	9	3500	50	50	3530	50	50	9	-1	-1	3968	1142	24	-1	-1	-1	-1	222	222	220	220	134	24	107	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1077	23397	50	-1	12043	50	-1	316	45	-1	316	45	-1	316	45	-1	316	45	-1	5	3544	50	50	3574	50	50	9	3544	50	50	3574	50	50	9	-1	-1	4016	1154	24	-1	-1	-1	-1	225	225	222	222	137	24	112	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1078	23685	50	-1	12192	50	-1	325	45	-1	325	45	-1	325	45	-1	325	45	-1	5	3588	50	50	3614	50	50	9	3588	50	50	3614	50	50	9	-1	-1	4064	1166	24	-1	-1	-1	-1	227	227	225	225	137	24	112	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1079	23976	50	-1	12340	50	-1	330	45	-1	330	45	-1	330	45	-1	330	45	-1	5	3628	50	50	3658	50	50	9	3628	50	50	3658	50	50	9	-1	-1	4112	1178	24	-1	-1	-1	-1	230	230	227	227	140	24	112	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1080	24264	50	-1	12487	50	-1	334	45	-1	334	45	-1	334	45	-1	334	45	-1	5	3672	50	50	3702	50	50	9	3672	50	50	3702	50	50	9	-1	-1	4160	1190	24	-1	-1	-1	-1	232	232	230	230	140	24	112	-1	-1	-1	-1	-1	9	9	9	9	-1	-1	-1	-1	-1	-1
1081	24554	50	-1	12636	50	-1	338	50	-1	338	50	-1	338	50	-1	338	50	-1	5	3712	50	50	3742	50	50	10	3712	50	50	3742	50	50	10	-1	-1	4208	1202	24	-1	-1	-1	-1	237	237	235	235	142	24	112	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1082	24842	50	-1	12784	50	-1	343	50	-1	343	50	-1	343	50	-1	343	50	-1	5	3756	50	50	3786	50	50	10	3756	50	50	3786	50	50	10	-1	-1	4256	1214	24	-1	-1	-1	-1	240	240	237	237	145	24	117	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1083	25132	50	-1	12933	50	-1	352	50	-1	352	50	-1	352	50	-1	352	50	-1	5	3800	50	50	3830	50	50	10	3800	50	50	3830	50	50	10	-1	-1	4304	1226	24	-1	-1	-1	-1	242	242	240	240	145	24	117	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1084	25420	50	-1	13082	50	-1	356	50	-1	356	50	-1	356	50	-1	356	50	-1	5	3840	50	50	3870	50	50	10	3840	50	50	3870	50	50	10	-1	-1	4352	1238	24	-1	-1	-1	-1	245	245	242	242	148	24	117	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1085	25711	50	-1	13231	50	-1	360	50	-1	360	50	-1	360	50	-1	360	50	-1	5	3884	50	50	3914	50	50	10	3884	50	50	3914	50	50	10	-1	-1	4400	1250	24	-1	-1	-1	-1	247	247	245	245	148	24	117	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1086	25999	50	-1	13380	50	-1	365	50	-1	365	50	-1	365	50	-1	365	50	-1	5	3928	50	50	3958	50	50	10	3928	50	50	3958	50	50	10	-1	-1	4448	1262	24	-1	-1	-1	-1	250	250	247	247	151	24	117	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1087	26289	50	-1	13528	50	-1	374	50	-1	374	50	-1	374	50	-1	374	50	-1	5	3968	50	50	3998	50	50	10	3968	50	50	3998	50	50	10	-1	-1	4496	1274	27	-1	-1	-1	-1	252	252	250	250	154	27	122	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1088	26577	50	-1	13677	50	-1	378	50	-1	378	50	-1	378	50	-1	378	50	-1	6	4012	50	50	4042	50	50	10	4012	50	50	4042	50	50	10	-1	-1	4544	1286	27	-1	-1	-1	-1	255	255	252	252	154	27	122	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1089	26868	50	-1	13826	50	-1	382	50	-1	382	50	-1	382	50	-1	382	50	-1	6	4056	50	50	4086	50	50	10	4056	50	50	4086	50	50	10	-1	-1	4592	1298	27	-1	-1	-1	-1	257	257	255	255	156	27	122	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
1090	27156	50	-1	13972	50	-1	387	55	-1	387	55	-1	387	55	-1	387	55	-1	6	4096	50	50	4126	50	50	11	4096	50	50	4126	50	50	11	-1	-1	4640	1310	27	-1	-1	-1	-1	260	260	257	257	156	27	122	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1091	27446	50	-1	14121	50	-1	396	55	-1	396	55	-1	396	55	-1	396	55	-1	6	4140	50	50	4170	50	50	11	4140	50	50	4170	50	50	11	-1	-1	4688	1322	27	-1	-1	-1	-1	265	265	262	262	159	27	122	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1092	27734	50	-1	14270	50	-1	400	55	-1	400	55	-1	400	55	-1	400	55	-1	6	4184	50	50	4214	50	50	11	4184	50	50	4214	50	50	11	-1	-1	4736	1334	27	-1	-1	-1	-1	267	267	265	265	162	27	127	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1093	28024	50	-1	14419	50	-1	404	55	-1	404	55	-1	404	55	-1	404	55	-1	6	4224	50	50	4254	50	50	11	4224	50	50	4254	50	50	11	-1	-1	4784	1346	27	-1	-1	-1	-1	270	270	267	267	162	27	127	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1094	28312	50	-1	14568	50	-1	413	55	-1	413	55	-1	413	55	-1	413	55	-1	6	4268	50	50	4298	50	50	11	4268	50	50	4298	50	50	11	-1	-1	4832	1358	27	-1	-1	-1	-1	272	272	270	270	165	27	127	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1095	28603	50	-1	14716	50	-1	418	55	-1	418	55	-1	418	55	-1	418	55	-1	6	4312	50	50	4338	50	50	11	4312	50	50	4338	50	50	11	-1	-1	4880	1370	27	-1	-1	-1	-1	275	275	272	272	165	27	127	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1096	28891	50	-1	14865	50	-1	422	55	-1	422	55	-1	422	55	-1	422	55	-1	6	4352	50	50	4382	50	50	11	4352	50	50	4382	50	50	11	-1	-1	4928	1382	27	-1	-1	-1	-1	277	277	275	275	168	27	127	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1097	29181	50	-1	15014	50	-1	431	55	-1	431	55	-1	431	55	-1	431	55	-1	6	4396	50	50	4426	50	50	11	4396	50	50	4426	50	50	11	-1	-1	4976	1394	27	-1	-1	-1	-1	280	280	277	277	170	27	132	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1098	29469	50	-1	15163	50	-1	435	55	-1	435	55	-1	435	55	-1	435	55	-1	6	4436	50	50	4466	50	50	11	4436	50	50	4466	50	50	11	-1	-1	5024	1406	27	-1	-1	-1	-1	282	282	280	280	170	27	132	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
1099	29760	50	-1	15312	50	-1	440	60	-1	440	60	-1	440	60	-1	440	60	-1	6	4480	50	50	4510	50	50	12	4480	50	50	4510	50	50	12	-1	-1	5072	1418	30	-1	-1	-1	-1	285	285	282	282	173	30	132	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
1100	30048	50	-1	15458	50	-1	448	60	-1	448	60	-1	448	60	-1	448	60	-1	6	4524	50	50	4554	50	50	12	4524	50	50	4554	50	50	12	-1	-1	5120	1430	30	-1	-1	-1	-1	287	287	285	285	173	30	132	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
1101	12641	50	-1	6503	50	-1	103	12	-1	103	12	-1	103	12	-1	103	12	-1	6	1116	50	50	1111	50	50	12	1116	50	50	1111	50	50	12	-1	-1	1242	414	10	-1	-1	-1	-1	117	117	116	116	64	10	22	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
1102	12761	50	-1	6565	50	-1	104	12	-1	104	12	-1	104	12	-1	104	12	-1	6	1127	50	50	1122	50	50	12	1127	50	50	1122	50	50	12	-1	-1	1254	418	10	-1	-1	-1	-1	118	118	117	117	65	10	22	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
1103	12882	50	-1	6627	50	-1	105	12	-1	105	12	-1	105	12	-1	105	12	-1	6	1138	50	50	1133	50	50	12	1138	50	50	1133	50	50	12	-1	-1	1266	422	10	-1	-1	-1	-1	119	119	118	118	66	10	22	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
1104	13002	50	-1	6689	50	-1	106	12	-1	106	12	-1	106	12	-1	106	12	-1	6	1148	50	50	1143	50	50	12	1148	50	50	1143	50	50	12	-1	-1	1278	426	10	-1	-1	-1	-1	120	120	119	119	67	10	23	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
